Product Name,Sentiment,Customer Review,Category,Abstractive Summary
Electric Massager Gun - Hitam,Positive,"getaran kuat, banyak level, desain ergonomis, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Health and Beauty,"Massager ini memiliki getaran kuat, banyak level, dan desain ergonomis. Pengiriman cepat dan memuaskan."
Smart Pet Feeder with Camera - Putih,Negative,"feeder ini sering macet, kamera buram, kualitas jelek || Kualitas buruk dan cepat rusak. || Beli karena rating tinggi, ternyata mengecewakan.",Electronics,"Pet feeder ini sering macet dan kamera buram, kualitasnya sangat jelek."
Smart Pet Feeder with Camera - Putih,Positive,"feeder berfungsi baik, kamera jernih, cocok untuk hewan, seller responsif || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Pet feeder ini berfungsi baik, kamera jernih, dan cocok untuk hewan. Seller responsif dan pengiriman cepat."
Portable Air Cooler - Putih,Negative,"pendingin ini tidak dingin, bising, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Air cooler ini tidak dingin, bising, dan kualitasnya buruk, sangat mengecewakan."
Portable Air Cooler - Putih,Positive,"dingin maksimal, suara halus, desain compact, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Air cooler ini memberikan dingin maksimal, suara halus, dan desain compact. Pengiriman cepat dan sangat direkomendasikan."
Smart Coffee Maker WiFi - Hitam,Negative,"mesin kopi ini sering error, wifi tidak connect, kecewa || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Mesin kopi ini sering error dan wifi tidak terhubung, sangat mengecewakan."
Smart Coffee Maker WiFi - Hitam,Positive,"kopi enak, wifi mudah diatur, desain modern, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Mesin kopi ini menghasilkan kopi enak, wifi mudah diatur, dan desain modern. Seller ramah dan pengiriman cepat."
Smart Alarm Clock with Sunrise - Putih,Negative,"jam ini alarmnya tidak bunyi, lampu redup, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Alarm clock ini memiliki alarm yang tidak bunyi dan lampu redup, kualitasnya sangat buruk."
Smart Alarm Clock with Sunrise - Putih,Positive,"alarm akurat, lampu sunrise bagus, desain elegan, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Alarm clock ini memiliki alarm akurat, lampu sunrise bagus, dan desain elegan. Pengiriman cepat dan memuaskan."
Wireless Charging Pad for Watch - Hitam,Negative,"charger ini lambat, tidak compatible dengan semua jam, kecewa || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Electronics,"Charging pad ini lambat dan tidak kompatibel dengan semua jam, sangat mengecewakan."
Wireless Charging Pad for Watch - Hitam,Positive,"pengisian cepat, kompatibel dengan banyak jam, desain simpel, seller responsif || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Charging pad ini cepat, kompatibel dengan banyak jam, dan desain simpel. Seller responsif dan pengiriman cepat."
Smart Humidifier WiFi - Putih,Negative,"humidifier ini bocor, wifi sering disconnect, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Humidifier ini bocor dan wifi sering terputus, kualitasnya sangat buruk."
Smart Humidifier WiFi - Putih,Positive,"kabut halus, wifi stabil, desain elegan, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Humidifier ini menghasilkan kabut halus, wifi stabil, dan desain elegan. Pengiriman cepat dan sangat direkomendasikan."
Electric Skillet Non-Stick - Hitam,Negative,"skillet ini cepat lengket, panas tidak merata, kecewa || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Skillet ini cepat lengket dan panas tidak merata, sangat mengecewakan."
Electric Skillet Non-Stick - Hitam,Positive,"anti lengket, panas merata, desain praktis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Skillet ini anti lengket, panas merata, dan desain praktis. Seller ramah dan pengiriman cepat."
Smart Fan with Remote - Putih,Negative,"kipas ini bising, remote tidak responsif, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Kipas ini bising dan remote tidak responsif, kualitasnya sangat buruk."
Smart Fan with Remote - Putih,Positive,"angin kencang, remote responsif, desain modern, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Kipas ini menghasilkan angin kencang, remote responsif, dan desain modern. Pengiriman cepat dan memuaskan."
Wireless Barcode Scanner - Hitam,Negative,"scanner ini sering error, tidak akurat, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Office Supplies,"Barcode scanner ini sering error dan tidak akurat, kualitasnya sangat buruk."
Wireless Barcode Scanner - Hitam,Positive,"akurat, koneksi stabil, desain ergonomis, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Office Supplies,"Barcode scanner ini akurat, koneksi stabil, dan desain ergonomis. Seller responsif dan pengiriman cepat."
Smart Baby Monitor with Camera - Putih,Negative,"kamera buram, suara tidak jernih, sering lag || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Baby monitor ini memiliki kamera buram, suara tidak jernih, dan sering lag, sangat mengecewakan."
Smart Baby Monitor with Camera - Putih,Positive,"kamera jernih, suara jelas, fitur lengkap, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Baby monitor ini memiliki kamera jernih, suara jelas, dan fitur lengkap. Pengiriman cepat dan sangat direkomendasikan."
Electric Grill Indoor - Hitam,Negative,"grill ini cepat karat, panas tidak merata, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Kitchen,"Grill ini cepat karat dan panas tidak merata, kualitasnya sangat buruk."
Electric Grill Indoor - Hitam,Positive,"panas merata, anti karat, desain praktis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Grill ini panas merata, anti karat, dan desain praktis. Seller ramah dan pengiriman cepat."
Smart Light Strip RGB 5m - Putih,Negative,"lampu strip ini cepat putus, warna tidak merata, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Light strip ini cepat putus dan warna tidak merata, kualitasnya sangat buruk."
Smart Light Strip RGB 5m - Putih,Positive,"warna cerah, panjang pas, mudah dipasang, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Light strip ini memiliki warna cerah, panjang pas, dan mudah dipasang. Pengiriman cepat dan memuaskan."
Wireless Meat Thermometer - Hitam,Negative,"termometer ini tidak akurat, cepat rusak, kecewa || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Termometer ini tidak akurat dan cepat rusak, sangat mengecewakan."
Wireless Meat Thermometer - Hitam,Positive,"akurat, mudah digunakan, desain praktis, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Kitchen,"Termometer ini akurat, mudah digunakan, dan desain praktis. Seller responsif dan pengiriman cepat."
Smart Water Leak Sensor - Putih,Negative,"sensor ini sering error, tidak akurat, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Water leak sensor ini sering error dan tidak akurat, kualitasnya sangat buruk."
Smart Water Leak Sensor - Putih,Positive,"akurat, notifikasi cepat, desain kecil, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Water leak sensor ini akurat, notifikasi cepat, dan desain kecil. Pengiriman cepat dan sangat direkomendasikan."
Electric Hand Mixer - Putih,Negative,"mixer ini cepat panas, tombol macet, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Hand mixer ini cepat panas dan tombol macet, kualitasnya sangat buruk."
Electric Hand Mixer - Putih,Positive,"kuat, tombol responsif, desain ergonomis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Hand mixer ini kuat, tombol responsif, dan desain ergonomis. Seller ramah dan pengiriman cepat."
Smart Smoke Detector - Putih,Negative,"detektor ini sering false alarm, kualitas buruk, kecewa || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Smoke detector ini sering memberikan alarm palsu, kualitasnya sangat buruk."
Smart Smoke Detector - Putih,Positive,"akurat, notifikasi cepat, desain modern, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Smoke detector ini akurat, notifikasi cepat, dan desain modern. Pengiriman cepat dan memuaskan."
Wireless Gaming Keyboard - RGB,Negative,"keyboard ini tombolnya macet, RGB cepat mati, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Gaming,"Gaming keyboard ini memiliki tombol macet dan RGB cepat mati, kualitasnya sangat buruk."
Wireless Gaming Keyboard - RGB,Positive,"tombol responsif, RGB keren, desain ergonomis, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Gaming,"Gaming keyboard ini memiliki tombol responsif, RGB keren, dan desain ergonomis. Seller responsif dan pengiriman cepat."
Smart Ceiling Light WiFi - Putih,Negative,"lampu ini sering flicker, wifi tidak stabil, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Ceiling light ini sering berkedip dan wifi tidak stabil, kualitasnya sangat buruk."
Smart Ceiling Light WiFi - Putih,Positive,"cahaya terang, wifi stabil, desain elegan, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Ceiling light ini memiliki cahaya terang, wifi stabil, dan desain elegan. Pengiriman cepat dan sangat direkomendasikan."
Electric Wine Opener - Hitam,Negative,"pembuka botol ini cepat rusak, baterai lelet, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Wine opener ini cepat rusak dan baterai lelet, kualitasnya sangat buruk."
Electric Wine Opener - Hitam,Positive,"mudah digunakan, baterai tahan lama, desain elegan, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Wine opener ini mudah digunakan, baterai tahan lama, dan desain elegan. Seller ramah dan pengiriman cepat."
Smart Motion Sensor Light - Putih,Negative,"lampu ini sering error, sensor tidak akurat, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Motion sensor light ini sering error dan sensor tidak akurat, kualitasnya sangat buruk."
Smart Motion Sensor Light - Putih,Positive,"sensor akurat, cahaya terang, desain minimalis, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Motion sensor light ini memiliki sensor akurat, cahaya terang, dan desain minimalis. Pengiriman cepat dan memuaskan."
Wireless Bike Computer - Hitam,Negative,"komputer ini tidak akurat, cepat rusak, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Sports,"Bike computer ini tidak akurat dan cepat rusak, kualitasnya sangat buruk."
Wireless Bike Computer - Hitam,Positive,"akurat, mudah dipasang, desain simpel, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Sports,"Bike computer ini akurat, mudah dipasang, dan desain simpel. Seller responsif dan pengiriman cepat."
Smart Door Sensor WiFi - Putih,Negative,"sensor ini sering error, wifi tidak stabil, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Door sensor ini sering error dan wifi tidak stabil, kualitasnya sangat buruk."
Smart Door Sensor WiFi - Putih,Positive,"sensor akurat, wifi stabil, desain kecil, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Door sensor ini memiliki sensor akurat, wifi stabil, dan desain kecil. Pengiriman cepat dan sangat direkomendasikan."
Electric Food Chopper 2L - Putih,Negative,"chopper ini pisau tumpul, cepat panas, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Kitchen,"Food chopper ini memiliki pisau tumpul dan cepat panas, kualitasnya sangat buruk."
Electric Food Chopper 2L - Putih,Positive,"pisau tajam, kuat, desain praktis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Food chopper ini memiliki pisau tajam, kuat, dan desain praktis. Seller ramah dan pengiriman cepat."
Smart Carbon Monoxide Detector - Putih,Negative,"detektor ini sering false alarm, kualitas buruk, kecewa || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Carbon monoxide detector ini sering memberikan alarm palsu, kualitasnya sangat buruk."
Smart Carbon Monoxide Detector - Putih,Positive,"akurat, notifikasi cepat, desain modern, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Carbon monoxide detector ini akurat, notifikasi cepat, dan desain modern. Pengiriman cepat dan memuaskan."
Wireless Gaming Mouse Pad - RGB,Negative,"mouse pad ini cepat rusak, RGB mati, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Gaming,"Mouse pad ini cepat rusak dan RGB mati, kualitasnya sangat buruk."
Wireless Gaming Mouse Pad - RGB,Positive,"permukaan halus, RGB keren, desain luas, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Gaming,"Mouse pad ini memiliki permukaan halus, RGB keren, dan desain luas. Seller responsif dan pengiriman cepat."
Smart Wall Switch WiFi - Putih,Negative,"switch ini sering error, wifi tidak stabil, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Wall switch ini sering error dan wifi tidak stabil, kualitasnya sangat buruk."
Smart Wall Switch WiFi - Putih,Positive,"mudah diatur, wifi stabil, desain elegan, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Wall switch ini mudah diatur, wifi stabil, dan desain elegan. Pengiriman cepat dan sangat direkomendasikan."
Electric Citrus Juicer - Putih,Negative,"juicer ini cepat rusak, motor lelet, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Citrus juicer ini cepat rusak dan motor lelet, kualitasnya sangat buruk."
Electric Citrus Juicer - Putih,Positive,"kuat, hasil jus banyak, desain praktis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Citrus juicer ini kuat, menghasilkan banyak jus, dan desain praktis. Seller ramah dan pengiriman cepat."
Smart Gas Detector - Putih,Negative,"detektor ini sering error, tidak akurat, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Gas detector ini sering error dan tidak akurat, kualitasnya sangat buruk."
Smart Gas Detector - Putih,Positive,"akurat, notifikasi cepat, desain modern, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Gas detector ini akurat, notifikasi cepat, dan desain modern. Pengiriman cepat dan memuaskan."
Wireless Gaming Headset - RGB,Negative,"headset ini suaranya pecah, mic buruk, RGB cepat mati || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Gaming,"Gaming headset ini memiliki suara pecah, mic buruk, dan RGB cepat mati, kualitasnya sangat buruk."
Wireless Gaming Headset - RGB,Positive,"suara jernih, mic bagus, RGB keren, seller responsif, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Gaming,"Gaming headset ini memiliki suara jernih, mic bagus, dan RGB keren. Seller responsif dan pengiriman cepat."
